,Weight
S1,0.0785506031777514
S2,0.05267340968590101
S3,0.06367968297653728
S4,0.08176211157367862
S5,0.09774882008484256
S6,0.09851727460884625
S7,0.09979433682574859
S8,0.060961759270839966
S9,0
S10,0
S11,0
S12,0
S13,0
S14,0
S15,0.0934243930940898
S16,0.1134247976401224
S17,0.04758231952191562
S18,0.11188049153972653
S19,0
